-2.4945e+08	-4.7083e+07	-2.4126e+08	-85.863	-87.231	-75.712	1.0007e+18
-8.365e+06	-2.4204e+07	1.8082e+08	-7.9982	-177.49	9.15	9.9918e+17
-1.0811e+07	3.1019e+07	6.0865e+06	76.8	-112.71	-15.998	1.0009e+18
-6.4587e+07	1.621e+07	-7.6289e+07	85.684	-59.011	-134.36	1.0001e+18
2.2518e+07	1.4939e+08	-4.1715e+07	-34.758	121.91	-113.12	1.0001e+18
9.8937e+07	-6.3114e+07	1.283e+08	-181.36	101.78	51.57	1.0008e+18
-2.4399e+08	-3.9675e+07	-6.4591e+07	164.07	-54.077	238.67	1.0023e+18
2.0734e+08	5.9365e+07	-1.2949e+07	-90.685	98.551	8.7557	9.9983e+17
-6.5796e+07	-4.7516e+07	-5.4952e+07	-17.889	177.26	160.03	1.002e+18
-1.3948e+08	-9.615e+07	-7.9266e+07	-53.27	-17.226	-135.73	9.9918e+17
-1.7983e+06	-3.8089e+07	-1.5401e+08	48.617	-62.975	-20.105	1.0012e+18
-8.5689e+07	-1.7397e+07	-6.8408e+05	-9.1624	-34.707	-33.681	9.9997e+17
-1.0516e+08	2.2444e+07	-6.2638e+07	215.3	-28.486	-106.66	1.0014e+18
1.6236e+08	-6.7672e+05	-3.1713e+07	-94.609	-6.211	50.312	1.001e+18
-7.5748e+07	-3.2558e+07	8.6283e+07	-45.249	7.8361	15.204	9.9948e+17
1.8603e+08	-4.316e+07	1.7084e+08	-77.948	34.774	44.251	9.9957e+17
7.4624e+07	-2.1352e+08	-1.1884e+08	96.795	-166.75	29.012	9.9942e+17
1.1145e+08	4.1753e+07	-3.3281e+07	-132.71	74.86	19.025	9.9971e+17
2.4029e+07	-1.0268e+08	6.5667e+07	121.74	-66.953	21.833	1.0026e+18
1.764e+07	1.9628e+08	6.5935e+07	-68.903	65.336	33.357	1.0003e+18
-6.6347e+07	-4.8413e+07	4.3511e+07	-24.357	-188.21	12.536	9.9984e+17
-1.2329e+08	2.1808e+06	1.0751e+08	-126.85	149.83	20.2	1.001e+18
-1.214e+08	1.6294e+08	1.4562e+08	-77.803	142.01	8.4092	9.9928e+17
-9.8827e+06	2.2978e+07	1.6884e+08	-34.793	-180.74	-26.927	9.9916e+17
-4.2997e+07	1.0221e+08	5.1005e+07	-195.02	-83.898	-156.6	9.9954e+17
5.2335e+07	-8.5502e+07	-1.2804e+08	-5.7781	17.697	48.89	1e+18
-5.5374e+07	-4.915e+07	1.6303e+08	228.13	48.025	48.411	1.0017e+18
-2.8848e+07	6.2108e+07	8.6596e+07	163.59	164.8	81.235	1.0009e+18
7.2606e+07	1.0155e+08	2.4096e+08	-80.45	-6.0493	101.55	9.9849e+17
-2.2604e+07	-8.5877e+07	8.8427e+07	24.318	-26.913	80.578	1.0001e+18
-4.7276e+06	-2.9805e+08	9.1275e+07	87.737	-44.022	36.286	1.0002e+18
-2.0627e+08	9.3243e+07	-7.2886e+07	11.53	-43.526	101.72	9.9959e+17
7.5488e+06	1.0034e+08	-1.3705e+08	48.229	-114.13	45.28	1.0001e+18
-2.0007e+08	-3.7415e+08	-6.9173e+07	166.82	-21.316	153.17	1.0011e+18
8.5016e+06	-6.7749e+07	-5.0806e+07	-23.652	12.189	72.769	9.9952e+17
-1.7468e+08	7.2047e+07	-2.0629e+08	195.75	18.165	5.2194	1.0001e+18
2.3055e+07	-1.9365e+08	8.617e+05	126.22	93.009	-61.47	9.9878e+17
2.3369e+08	7.1269e+07	-1.3553e+08	152.09	139.56	-22.997	9.9923e+17
-6.1615e+07	9.0013e+07	8.4735e+07	-5.2237	63.457	155.53	9.9876e+17
